x,Error,Linear,Quadratic
370,2.08E-112,0.5,1.20E+111
371,1.04E-112,0.5,2.40E+111
372,5.20E-113,0.5,4.81E+111
373,2.60E-113,0.5,9.62E+111
374,1.30E-113,0.5,1.92E+112
375,6.50E-114,0.5,3.85E+112
376,3.25E-114,0.5,7.70E+112
377,1.62E-114,0.5,1.54E+113
378,8.12E-115,0.5,3.08E+113
379,4.06E-115,0.5,6.16E+113
380,2.03E-115,0.5,1.23E+114
381,1.02E-115,0.5,2.46E+114
382,5.08E-116,0.5,4.93E+114
383,2.54E-116,0.5,9.85E+114
384,1.27E-116,0.5,1.97E+115
385,6.34E-117,0.5,3.94E+115
386,3.17E-117,0.5,7.88E+115
387,1.59E-117,0.5,1.58E+116
388,7.93E-118,0.5,3.15E+116
389,3.97E-118,0.5,6.30E+116
390,1.98E-118,0.5,1.26E+117
391,9.91E-119,0.5,2.52E+117
392,4.96E-119,0.5,5.04E+117
393,2.48E-119,0.5,1.01E+118
394,1.24E-119,0.5,2.02E+118
395,6.20E-120,0.5,4.03E+118
396,3.10E-120,0.5,8.07E+118
397,1.55E-120,0.5,1.61E+119
398,7.75E-121,0.5,3.23E+119
399,3.87E-121,0.5,6.46E+119
400,1.94E-121,0.5,1.29E+120
401,9.68E-122,0.5,2.58E+120
402,4.84E-122,0.5,5.16E+120
403,2.42E-122,0.5,1.03E+121
404,1.21E-122,0.5,2.07E+121
405,6.05E-123,0.5,4.13E+121
406,3.03E-123,0.5,8.26E+121
407,1.51E-123,0.5,1.65E+122
408,7.56E-124,0.5,3.31E+122
409,3.78E-124,0.5,6.61E+122
410,1.89E-124,0.5,1.32E+123
411,9.45E-125,0.5,2.64E+123
412,4.73E-125,0.5,5.29E+123
413,2.36E-125,0.5,1.06E+124
414,1.18E-125,0.5,2.12E+124
415,5.91E-126,0.5,4.23E+124
416,2.95E-126,0.5,8.46E+124
417,1.48E-126,0.5,1.69E+125
418,7.39E-127,0.5,3.38E+125
419,3.69E-127,0.5,6.77E+125
420,1.85E-127,0.5,1.35E+126
421,9.23E-128,0.5,2.71E+126
422,4.62E-128,0.5,5.42E+126
423,2.31E-128,0.5,1.08E+127
424,1.15E-128,0.5,2.17E+127
425,5.77E-129,0.5,4.33E+127
426,2.89E-129,0.5,8.66E+127
427,1.44E-129,0.5,1.73E+128
428,7.21E-130,0.5,3.47E+128
429,3.61E-130,0.5,6.93E+128
430,1.80E-130,0.5,1.39E+129
431,9.02E-131,0.5,2.77E+129
432,4.51E-131,0.5,5.55E+129
433,2.25E-131,0.5,1.11E+130
434,1.13E-131,0.5,2.22E+130
435,5.64E-132,0.5,4.44E+130
436,2.82E-132,0.5,8.87E+130
437,1.41E-132,0.5,1.77E+131
438,7.04E-133,0.5,3.55E+131
439,3.52E-133,0.5,7.10E+131
440,1.76E-133,0.5,1.42E+132
441,8.81E-134,0.5,2.84E+132
442,4.40E-134,0.5,5.68E+132
443,2.20E-134,0.5,1.14E+133
444,1.10E-134,0.5,2.27E+133
445,5.50E-135,0.5,4.54E+133
446,2.75E-135,0.5,9.09E+133
447,1.38E-135,0.5,1.82E+134
448,6.88E-136,0.5,3.63E+134
449,3.44E-136,0.5,7.27E+134
450,1.72E-136,0.5,1.45E+135
451,8.60E-137,0.5,2.91E+135
452,4.30E-137,0.5,5.81E+135
453,2.15E-137,0.5,1.16E+136
454,1.07E-137,0.5,2.33E+136
455,5.37E-138,0.5,4.65E+136
456,2.69E-138,0.5,9.30E+136
457,1.34E-138,0.5,1.86E+137
458,6.72E-139,0.5,3.72E+137
459,3.36E-139,0.5,7.44E+137
460,1.68E-139,0.5,1.49E+138
461,8.40E-140,0.5,2.98E+138
462,4.20E-140,0.5,5.95E+138
463,2.10E-140,0.5,1.19E+139
464,1.05E-140,0.5,2.38E+139
465,5.25E-141,0.5,4.76E+139
466,2.62E-141,0.5,9.53E+139
467,1.31E-141,0.5,1.91E+140
468,6.56E-142,0.5,3.81E+140
469,3.28E-142,0.5,7.62E+140
470,1.64E-142,0.5,1.52E+141
471,8.20E-143,0.5,3.05E+141
472,4.10E-143,0.5,6.10E+141
473,2.05E-143,0.5,1.22E+142
474,1.03E-143,0.5,2.44E+142
475,5.13E-144,0.5,4.88E+142
476,2.56E-144,0.5,9.76E+142
477,1.28E-144,0.5,1.95E+143
478,6.41E-145,0.5,3.90E+143
479,3.20E-145,0.5,7.80E+143
480,1.60E-145,0.5,1.56E+144
481,8.01E-146,0.5,3.12E+144
482,4.00E-146,0.5,6.24E+144
483,2.00E-146,0.5,1.25E+145
484,1.00E-146,0.5,2.50E+145
485,5.01E-147,0.5,4.99E+145
486,2.50E-147,0.5,9.99E+145
487,1.25E-147,0.5,2.00E+146
488,6.26E-148,0.5,4.00E+146
489,3.13E-148,0.5,7.99E+146
490,1.56E-148,0.5,1.60E+147
491,7.82E-149,0.5,3.20E+147
492,3.91E-149,0.5,6.39E+147
493,1.96E-149,0.5,1.28E+148
494,9.78E-150,0.5,2.56E+148
495,4.89E-150,0.5,5.11E+148
496,2.44E-150,0.5,1.02E+149
497,1.22E-150,0.5,2.05E+149
498,6.11E-151,0.5,4.09E+149
499,3.05E-151,0.5,8.18E+149
500,1.53E-151,0.5,1.64E+150
501,7.64E-152,0.5,3.27E+150
502,3.82E-152,0.5,6.55E+150
503,1.91E-152,0.5,1.31E+151
504,9.55E-153,0.5,2.62E+151
505,4.77E-153,0.5,5.24E+151
506,2.39E-153,0.5,1.05E+152
507,1.19E-153,0.5,2.09E+152
508,5.97E-154,0.5,4.19E+152
509,2.98E-154,0.5,8.38E+152
510,1.49E-154,0.5,1.68E+153
511,7.46E-155,0.5,3.35E+153
512,3.73E-155,0.5,6.70E+153
513,1.86E-155,0.5,1.34E+154
514,9.32E-156,0.5,2.68E+154
515,4.66E-156,0.5,5.36E+154
516,2.33E-156,0.5,1.07E+155
517,1.17E-156,0.5,2.15E+155
518,5.83E-157,0.5,4.29E+155
519,2.91E-157,0.5,8.58E+155
520,1.46E-157,0.5,1.72E+156
521,7.28E-158,0.5,3.43E+156
522,3.64E-158,0.5,6.86E+156
523,1.82E-158,0.5,1.37E+157
524,9.10E-159,0.5,2.75E+157
525,4.55E-159,0.5,5.49E+157
526,2.28E-159,0.5,1.10E+158
527,1.14E-159,0.5,2.20E+158
528,5.69E-160,0.5,4.39E+158
529,2.85E-160,0.5,8.79E+158
530,1.42E-160,0.5,1.76E+159
531,7.11E-161,0.5,3.51E+159
532,3.56E-161,0.5,7.03E+159
533,1.78E-161,0.5,1.41E+160
534,8.89E-162,0.5,2.81E+160
535,4.45E-162,0.5,5.62E+160
536,2.22E-162,0.5,1.12E+161
537,1.11E-162,0.5,2.25E+161
538,0,0,                       NaN
function,,,
  sin(x)+cos(x*x) ,,,
1,0,   1.4113218372440045E-316 ,   1.4113187740370002E-316
2,8.05E-02,0.184928076,0.425019751
3,5.25E-03,6.53E-02,0.811123336
4,2.13E-05,4.05E-03,0.771382573
5,3.47E-10,1.63E-05,0.767750705
6,1.11E-16,3.20E-07,919.7077587
7,0,0,0
